Domaine,Pays,Élément,Produit,Année,Valeur
"Bilans Alimentaires","Hongrie","Exportations - Quantité","Viande de Volailles","2013","203"
"Bilans Alimentaires","Îles Salomon","Production","Viande de Volailles","2013","0"
"Bilans Alimentaires","Îles Salomon","Importations - Quantité","Viande de Volailles","2013","2"
"Bilans Alimentaires","Inde","Production","Viande de Volailles","2013","2358"
"Bilans Alimentaires","Inde","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Inde","Exportations - Quantité","Viande de Volailles","2013","6"
"Bilans Alimentaires","Indonésie","Production","Viande de Volailles","2013","1872"
"Bilans Alimentaires","Indonésie","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Indonésie","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Iran (République islamique d')","Production","Viande de Volailles","2013","1979"
"Bilans Alimentaires","Iran (République islamique d')","Importations - Quantité","Viande de Volailles","2013","17"
"Bilans Alimentaires","Iran (République islamique d')","Exportations - Quantité","Viande de Volailles","2013","37"
"Bilans Alimentaires","Iraq","Production","Viande de Volailles","2013","88"
"Bilans Alimentaires","Iraq","Importations - Quantité","Viande de Volailles","2013","413"
"Bilans Alimentaires","Irlande","Production","Viande de Volailles","2013","103"
"Bilans Alimentaires","Irlande","Importations - Quantité","Viande de Volailles","2013","80"
"Bilans Alimentaires","Irlande","Exportations - Quantité","Viande de Volailles","2013","53"
"Bilans Alimentaires","Islande","Production","Viande de Volailles","2013","8"
"Bilans Alimentaires","Islande","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Islande","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Israël","Production","Viande de Volailles","2013","532"
"Bilans Alimentaires","Israël","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Israël","Exportations - Quantité","Viande de Volailles","2013","8"
"Bilans Alimentaires","Italie","Production","Viande de Volailles","2013","1229"
"Bilans Alimentaires","Italie","Importations - Quantité","Viande de Volailles","2013","87"
"Bilans Alimentaires","Italie","Exportations - Quantité","Viande de Volailles","2013","165"
"Bilans Alimentaires","Jamaïque","Production","Viande de Volailles","2013","104"
"Bilans Alimentaires","Jamaïque","Importations - Quantité","Viande de Volailles","2013","43"
"Bilans Alimentaires","Jamaïque","Exportations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Japon","Production","Viande de Volailles","2013","1459"
"Bilans Alimentaires","Japon","Importations - Quantité","Viande de Volailles","2013","1056"
"Bilans Alimentaires","Japon","Exportations - Quantité","Viande de Volailles","2013","9"
"Bilans Alimentaires","Jordanie","Production","Viande de Volailles","2013","182"
"Bilans Alimentaires","Jordanie","Importations - Quantité","Viande de Volailles","2013","84"
"Bilans Alimentaires","Jordanie","Exportations - Quantité","Viande de Volailles","2013","24"
"Bilans Alimentaires","Kazakhstan","Production","Viande de Volailles","2013","136"
"Bilans Alimentaires","Kazakhstan","Importations - Quantité","Viande de Volailles","2013","171"
"Bilans Alimentaires","Kazakhstan","Exportations - Quantité","Viande de Volailles","2013","3"
"Bilans Alimentaires","Kenya","Production","Viande de Volailles","2013","21"
"Bilans Alimentaires","Kenya","Importations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Kenya","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Kirghizistan","Production","Viande de Volailles","2013","6"
"Bilans Alimentaires","Kirghizistan","Importations - Quantité","Viande de Volailles","2013","51"
"Bilans Alimentaires","Kirghizistan","Exportations - Quantité","Viande de Volailles","2013","0"
"Bilans Alimentaires","Kiribati","Production","Viande de Volailles","2013","1"
"Bilans Alimentaires","Kiribati","Importations - Quantité","Viande de Volailles","2013","1"
"Bilans Alimentaires","Koweït","Production","Viande de Volailles","2013","44"
"Bilans Alimentaires","Koweït","Importations - Quantité","Viande de Volailles","2013","139"
"Bilans Alimentaires","Koweït","Exportations - Quantité","Viande de Volailles","2013","3"
"Bilans Alimentaires","Lesotho","Production","Viande de Volailles","2013","4"
